record_id,source_db,status,decided_by,decided_at,stage,decision,automation_flag,title,authors,doi_or_id,year,screening_score
rec_00011,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Preamble-Free Synchronization Based on Dual-chirp Waveforms for Photonic THz-ISAC,"Zhidong Lyu, Lu Zhan, Hongqi Zhang, Zuomin Yang, Hang Yang, Lianyi Li, Changming Zhang, Vjačeslav Bobrovs, Oskars Ozolins, Xiaodan Pang, Xianbin Yu, Lu Zhang",10.1109/jlt.2023.3344788,2024,2.7
rec_00012,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Energy-Efficient OIRS-Aided VLC Systems Employing ML-Based User Orientation and Obstacle Awareness,"Anand Singh, Haythem Bany Salameh, Moussa Ayyash, Hany Elgala, Haythem Bany Salameh",10.1109/jsen.2024.3476375,-,2.9
rec_00013,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Multi-UAV-Enabled Integrated Sensing and Communications: Joint UAV Placement and Power Control,"Weihang Ding, Changyu Chen, Yuan Fang, Ling Qiu, Xinmin Li, Xin Wang, Jie Xu",10.1109/gcwkshps58843.2023.10464594,-,1.4
rec_00014,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,High-Resolution Imaging Capability of Large-Scale LEO Satellite Constellations,"Lhamo Dorje, Xiaohua Li, Yu Chen, Nihal A Poredi",10.1109/icc51166.2024.10622727,-,2.5
rec_00015,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,A Novel Environment Object Modeling Method for Vehicular ISAC Scenarios,"Hanyuan Jiang, Yuxiang Zhang, Yameng Liu, Jianhua Zhang, Lei Tian, Tao Jiang",10.1109/wcnc61545.2025.10978233,-,0.1
rec_00016,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,SLM Printed Dual-Band Dual-Polarized Shared-Aperture Filtering Antenna Array for Millimeter-Wave Integrated Sensing and Communication,"Sifan Wu, Jianxing Li, Yujian Li, Sen Yan, Xiu Yin Zhang",10.1109/tap.2024.3353334,-,2.5
rec_00017,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,A Cluster-Based Statistical Channel Model for Integrated Sensing and Communication Channels,"Zhengyu Zhang, Ruisi He, Bo Ai, Mi Yang, Yong Niu, Zhangdui Zhong, Yujian Li, Xuejian Zhang, Jing Li",10.1109/twc.2024.3383594,2024,2.5
rec_00018,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,"Task-Oriented Sensing, Computation, and Communication Integration for Multi-Device Edge AI","Dingzhu Wen, Peixi Liu, Guang Zhu, Yuanming Shi, Jie Xu, Yonina C Eldar, Shuguang Cui",10.1109/icc45041.2023.10279277,2024,1.4
rec_00019,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Semi-Passive IRS Enabled Sensing With Group Movable Sensors,"Qiaoyan Peng, Qingqing Wu, Wen Chen, Guangji Chen, Ying Gao, Lexi Xu, Shaodan Ma",10.1109/lcomm.2025.3560075,2025,2.7
rec_00020,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Anti-Collision Technologies for Unmanned Aerial Vehicles: Recent Advances and Future Trends,"Zhiqing Wei, Zeyang Meng, Meichen Lai, Huici Wu, Jiarong Han, Zhiyong Feng",10.1109/jiot.2021.3135578,-,0.1
rec_00021,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Joint Waveform and Phase Shift Design for RIS-Assisted Integrated Sensing and Communication Based on Mutual Information,Hongliang Zhang,10.1109/lcomm.2022.3195062,-,2.7
rec_00022,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Demonstration of Multitarget Wireless Sensing Using High-Scanning-Rate Coupled-Patch Antenna,"Shuguang Xiao, Zhaoxin Chang, Ge Zhang, Amir K Rashid, Yi Huang, Chaijie Duan, Daqing Zhang, Qingfeng Zhang, With Peng Cheng",10.1109/lawp.2024.3430840,-,1.4
rec_00023,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Throughput Maximization for UAV-Enabled Integrated Periodic Sensing and Communication,"Kaitao Meng, Qingqing Wu, Shaodan Ma, Wen Chen, Kunlun Wang, Jun Li",10.1109/twc.2022.3197623,2023,2.5
rec_00024,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Channel Non Stationarity and Consistency for Beyond %G and 6G: A Survey,"X. Cheng, Z. Huang and L. Bai",10.1109/COMST.2022.3184049,2022,0.1
rec_00025,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Radar Integrated MIMO Communications for Multi-Hop V2V Networking,"Yajun Fan, Shijian Ga, Dongliang Dua, Xiang Cheng, Liuqing Yang,  Yajun, Shijian Gao, Dongliang Duan",10.1109/lwc.2022.3224566,-,2.5
rec_00026,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Secure Integrated Sensing and Communications (S-ISAC) Network,"Terry Guo, Husheng Li",10.1109/vtc2024-fall63153.2024.10757770,-,2.5
rec_00027,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Photonic THz-ISAC Demonstration with Simultaneous 120Gbit/s Communication and 2.5mm Sensing Resolution,"Zhidong Lyu, Lu Zhang, Zuomin Yang, Hongqi Zhang, Changming Zhang, Hang Yang, Nan Li, Vjačeslavs Bobrovs, Oskars Ozolins, Xiaodan Pang, Xianbin Yu",10.1049/icp.2023.2658,-,2.7
rec_00028,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Unified ISAC Pareto Boundary Based on Mutual Information and Minimum Mean-Square Error Estimation,"Shuaijun Wang, Jing Chen, Yunfei Zho, Kaifeng Chen, Changsheng Han,  You, Li Chen, Jing Zhou, Yunfei Chen, Kaifeng Han",10.1109/tcomm.2024.3406382,2024,2.5
rec_00029,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Fundamental CRB-Rate Tradeoff in Multi-antenna Multicast Channel with ISAC,"Zixiang Ren, Xianxin Song, Yuan Fang, Ling Qiu, Jie Xu",10.1109/gcwkshps56602.2022.10008661,-,2.5
rec_00030,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Sensing-Assisted Sparse Channel Recovery for Massive Antenna Systems,"Zixiang Ren, Ling Qiu, Jie Xu, Derrick Wing, Kwan Ng",10.1109/tvt.2024.3422663,-,2.5
rec_00031,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Detection and Identification of Overlapping Cards using Terahertz Imaging,"Yasutaka Murakami, Yoshiki Sugimoto, Hideya So, Tomoki Murakami",10.23919/eucap63536.2025.10999644,-,0.1
rec_00032,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Integrated Sensing and Communication With Massive MIMO: A Unified Tensor Approach for Channel and Target Parameter Estimation,"Ruoyu Zha, Lei Che, Shuai Wang, Yi Lou, Yulong Gao, Wen Wu, Derrick Wing, Kwan Ng, Lei Cheng, Ruoyu Zhang",10.1109/twc.2024.3351856,2024,2.5
rec_00033,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,A Beam-scannable photonic THz-ISAC system based on Risley prisms,"Zhidong Lyu, Lu Zhang, Hongqi Zhang, Zuomin Yang, Hang Yang, Changming Zhang, Vjačeslavs Bobrovs, Xiaodan Pang, Oskars Ozolins, Xianbin Yu",10.1109/acp/poem59049.2023.10368958,-,2.7
rec_00034,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Efficient Fusion and Reconstruction for Communication and Sensing Signals in Green IoT Networks,"Zexuan Jing, Junsheng Mu, Xinyu Li, Quan Zhou, Qinghua Tian",10.1109/jiot.2022.3222513,2023,2.5
rec_00035,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Beam Pattern Modulation Embedded mmWave Hybrid Transceiver Design Towards ISAC,"Boxun Liu, Shijian Gao, Zonghui Yang, Xiang Cheng",10.1109/vtc2024-spring62846.2024.10683336,-,2.5
rec_00036,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,OTFS ISAC SDR Implementation and Experiment Testing fo UAV Micro-Doppler Analysis,"Zikun Yang, Qianli Wang, Gang Liu, Zheng Ma",10.1109/icwoc65853.2025.11150790,-,2.5
rec_00037,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,A RIS-Based Vehicle DOA Estimation Method With Integrated Sensing and Communication System,"Zhimin Chen, Peng Chen, Ziyu Guo, Yudong Zhang, Xianbin Wang",10.1109/tits.2023.3330172,2024,2.7
rec_00038,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Intelligent Multi-Modal Sensing-Communication Integration: Synesthesia of Machines,"Xiang Cheng, Haotian Zhang, Jianan Zhang, Shijian Gao, Sijiang Li, Ziwei Huang, Lu Bai, Zonghui Yang, Xinhu Zheng, Liuqing Yang",10.1109/comst.2023.3336917,2024,1.4
rec_00039,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Robust Transmit Beamforming for Secure Integrated Sensing and Communication,"Zixiang Ren, Ling Qiu, Jie Xu, Derrick Wing, Kwan Ng",10.1109/tcomm.2023.3286461,2023,2.5
rec_00040,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,6G INTEGRATED SENSING AND COMMUNICATION -SENSING ASSISTED ENVIRONMENTAL RECONSTRUCTION AND COMMUNICATION,"Zhi Zhou, Xianjin Li, Jia He, Xiaoyan Bi, Yan Chen, Guangjian Wang, Peiying Zhu",10.1109/icassp49357.2023.10096544,-,2.5
rec_00041,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Application of Integrated Sensing and Communication in Structural Health Monitoring,"Jie Yang, Chao-Kai Wen, Shi Jin",10.1109/wocc61718.2024.10785580,-,2.7
rec_00042,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Multi-Channel Photonic THz-ISAC System Based on Integrated LFM-QAM Waveform,"Zhidong Lyu, Lu Zha, Hongqi Zhang, Zuomin Yang, Changming Zhang, Hang Ya, Nan Li, Vjačeslavs Bobrovs, Oskars Ozolins, Xiaodan Pang, Guangyi Liu, Xianbin Yu, Lu Zhang, Hang Yang",10.1109/jlt.2024.3392282,-,2.7
rec_00043,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Joint Antenna Position and Transmit Power Optimization for Pinching Antenna-Assisted ISAC Systems,"Yunhui Qin, Yaru Fu, Haijun Zhang",10.1109/lwc.2025.3597719,-,2.7
rec_00044,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Joint Angle and Delay Cramér-Rao Bound Optimization for ISAC,"Chao Hu, Yuan Fang, Ling Qiu",10.1109/tvt.2025.3577390,-,2.5
rec_00045,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,"Intelligent Surfaces Empowered Wireless Network: Recent Advances and the Road to 6G This article offers a comprehensive review of intelligent surfaces (ISs) and their transformative potential in future wireless networks, particularly in the context of 6G","Qingqing Wu, Beixio Zheng, Lipeng Zhu, Kaiming Shen, Xiaod Shao, Weidong Mei, Hongliang Zhang, Ertugrul Basar, Lingyang So, Marco Di Renzo, Zhi-Quan Luo, Marco Di Renzo, Rui Zhang",10.1109/JPROC.2024.3397910,2024,2.7
rec_00046,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Joint Transmit and Receive Beamforming Design for Uplink RSMA Enabled Integrated Sensing and Communication Systems,"Chao Hu, Yuan Fang, Ling Qiu",10.1109/wcnc55385.2023.10119024,2023,2.5
rec_00047,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Redefining Next Generation Fronthaul for the Interplay Between Communication and Sensing Data,"Xavier Gelabert, Bleron Klaiqi, Noè Bernadas,  Busquets",10.1109/icton62926.2024.10647261,-,1.4
rec_00048,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,A Novel Geometry-Based Stochastic Channel Model in Integrated Sensing and Communication Scenarios,"Yunwei Jin, Bo Ai, Haoxiang Zhang, Bincheng Liu, Yujian Li, Jing Li, Ruisi He, Tong Wu",10.1109/lwc.2024.3401482,2024,2.5
rec_00049,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Two-timescale Transmit Power Minimization in Semi-Passive IRS-Aided ISAC Systems,"Jingwen Wu, Qilue Huang, Sihai Zhang, Ling Qiu",10.1109/iccc62609.2024.10941927,-,2.7
rec_00050,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,TERAHERTZ INTEGRATED SENSING AND COMMUNICATION-EMPOWERED UAVs IN 6G A Transceiver Design Perspective,"Ruoyu Zhang, Wen Wu, Xiaoming Chen, Zhen Gao, Yueming Cai",10.1109/mvt.2025.3531088,-,2.7
rec_00051,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Superposed IM-OFDM (S-IM-OFDM): An Enhanced OFDM for Integrated Sensing and Communications,"Zonghui Yang, Shijian Gao, Xiang Cheng, Liuqing Yang",10.1109/tvt.2024.3412213,2024,2.5
rec_00052,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Channel Characterization and Realization of Mobile Optical Wireless Communications,"Zi-Yang Wu, Muhammad Ismail, Justin Kong, Erchin Serpedin, Jiao Wang",10.1109/tcomm.2020.3009256,-,2.7
rec_00053,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Transmit Power Minimization for Double-RIS-Enabled Multi-User ISAC System in Vehicular Networks,"Qi Zhang, Wenqi Xiao, Pengcheng Zhu, Yu Yao, Weibin Zhang, Feng Shu",10.1109/tits.2025.3549889,-,2.5
rec_00054,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Joint Resource Allocation and Reflecting Precoding Design for RIS-Assisted ISAC Systems,"Xiaohui Li, Hong Wang, Yunpei Chen, Shuran Sheng",10.1109/lwc.2024.3365809,-,2.7
rec_00055,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,CoMP ISAC Design Adopting Distinct Symbol Durations and Waveforms,"Li Chen, Haoyu Zhang, Changsheng You, Guo Wei",10.1109/twc.2024.3518542,-,2.5
rec_00056,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Specific Emitter Identification for Integrated Sensing and Communication,"Boxiang He, Fanggang Wang",10.1109/iccworkshops57953.2023.10283766,-,2.5
rec_00057,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Rotatable Antennas for Integrated Sensing and Communications,"Chao Zhou, Changsheng You, Beixiong Zheng, Xiaodan Shao, Rui Zhang",10.1109/lwc.2025.3580889,-,2.5
rec_00058,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Subcarrier Multiplexing OFDM-based Radar Communication Integration,"Biao Yang, Shanshan Zhao, Minju Yi",10.1109/wcsp52459.2021.9613423,-,1.4
rec_00059,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,A Three-Stage Physics-Driven Transmission Scheme for Integrated Sensing and Communication Systems With Noisy Angular Information,"Huangyun Su, Lixiang Lian, Kaixuan Huang, Shunqing Zhang",10.1109/lwc.2025.3571729,-,2.7
rec_00060,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,THIS LINE WITH YOUR MANUSCRIPT ID NUMBER (DOUBLE-CLICK HERE TO EDIT) < Zero-padding 2D-DFT Scheme for Photonics-assisted W-band Fiber-wireless ISAC System with Orthogonal Time Frequency Space Modulation,"Jing He, Lede Yin, Kang Liu, Shijie Xiao, Zuo Chen",10.1109/jlt.2025.3602312,-,2.7
rec_00061,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Electromagnetic Field Exposure-Aware AI Framework for Integrated Sensing and Communications-Enabled Ambient Backscatter Wireless Networks,"Muhammad Ali Jamshed, Yazdan Ahmad Qadri, Ali Nauman, Haejoon Jung",10.1109/jiot.2024.3394041,-,0.1
rec_00062,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Performance Analysis of ISAC System Under Correlated Communication-Sensing Channel,"Yinxiao Zhuo, Zhaocheng Wang, Zilong Liu",10.1109/tvt.2023.3294502,-,2.5
rec_00063,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Fundamental CRB-Rate Tradeoff in Multi-Antenna ISAC Systems With Information Multicasting and Multi-Target Sensing,"Zixiang Ren, Yunfei Peng, Xianxin Song, Yuan Fang, Ling Qiu, Liang Liu, Derrick Wing, Kwan Ng, Jie Xu",,,1.4
rec_00064,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,A Computational Signal Algebra Framework for Microwave Photonics Radar Integrated Sensing and Communications,"Cesar Aceros, Juan Valera, Yvonne Aviles, Domingo Rodriguez",10.1109/icaccs60874.2024.10716942,-,2.7
rec_00065,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Secure Cell-Free Integrated Sensing and Communication in the Presence of Information and Sensing Eavesdroppers,"Ling Qiu, Jie Xu, Derrick Wing, Kwan Ng",,,0.1
rec_00066,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,THz-over-fiber system with orthogonal chirp division multiplexing for integrated sensing and communication,"Lianyi Li, Lu Zhang, Hongqi Zhang, Zhidong Lyu, Zuomin Yang, Changming Zhang, Xianbin Yu",10.1109/oecc56963.2023.10209717,-,2.5
rec_00067,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Distributed Multinode Cooperative Integrated Sensing and Communication Systems: Joint Beamforming and Grouping Design,"Xiaohui Li, Qi Zhu, Yunpei Chen, Yifei Yuan",10.1109/jiot.2025.3543558,2025,2.5
rec_00068,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Analysis of Visible Light-Based ISAC Channel Characteristics in a V2V Scenario,"Peiyao Dong, Pan Tang, Yue Yin, Lei Tian, Jianhua Zhang",10.1109/wcnc61545.2025.10978645,-,2.7
rec_00069,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Vertical Federated Edge Learning With Distributed Integrated Sensing and Communication,"Peixi Liu, Guangxu Zhu, Wei Jiang, Wu Luo, Jie Xu, Shuguang Cui",10.1109/lcomm.2022.3181612,-,2.5
rec_00070,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Photonic-Based Flexible Integrated Sensing and Communication With Multiple Targets Detection Capability for W-Band Fiber-Wireless Network,"Dong, Boyu and Jia, Junlian and Li, Zhongya and Li, Guoqiang and Shi, Jianyang and Wang, Haipeng and Chi, Nan and Zhang, Junwen",10.1109/TMTT.2024.3355936,,2.7
rec_00071,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Cooperative Sensing and User-Echo Associations for Integrated Sensing and Communication Networks,"Haiying Zhang, Shuyi Chen, Weixiao Meng, Cheng Li",10.1109/globecom52923.2024.10901313,-,2.5
rec_00072,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Microwave Photonics Empowered Integrated Sensing and Communication for 6G,"Lihan Wang, Xiangchuan Wang, Shilong Pan",10.1109/tmtt.2025.3532810,-,2.7
rec_00073,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Hybrid Sensing Strategy Using Pilot and Frame for OTFS-Based ISAC Systems,Xiaolin He,10.1109/icwoc65853.2025.11151117,-,2.5
rec_00074,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Network-Level Integrated Sensing and Communication: Interference Management and BS Coordination Using Stochastic Geometry,"Kaitao Meng, Christos Masouros, Guangji Chen, Fan Liu",10.1109/twc.2024.3483031,2024,1.4
rec_00075,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,LFM-PSK-based integrated sensing and communication system in the THz band,"Zhidong Lyu, Lu Zhang, Hongqi Zhang, Zuomin Yang, Lianyi Li, Changming Zhang, Xianbin Yu",10.1109/oecc56963.2023.10209671,-,2.7
rec_00076,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,VehicleTalk: Lightweight V2V Network Enabled by Optical Wireless Communication and Sensing,"Yang Song, Ruoshen Mo, Pinpin Zhang, Chenchen Wang, Zhengguo Sheng, Yimao Sun, Yanbing Yang",10.1109/vtc2024-spring62846.2024.10683127,-,2.7
rec_00077,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Distributed Fiber Optic Sensing (DFOS) in Telecom Networks: Industry Trends and Standards Development,Jun Shan Wey,10.1109/jlt.2025.3597192,-,1.4
rec_00078,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Recent advances in integrated sensing and communication: a synergistic perspective,"Yufeng Zhang, Minglun Zhang",10.1109/nnice61279.2024.10498998,-,2.7
rec_00079,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Nanoantennas and Nanoradars: The Future of Integrated Sensing and Communication at the Nanoscale,"M Javad Fakhimi, Ozgur B Akan, M Javad",10.1109/tmbmc.2024.3434545,2024,2.9
rec_00080,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Trade-off in Waveform Sensitivity to Environment in Integrated Sensing and Communications: An Electromagnetic Field Analysis,Husheng Li,10.1109/globecom52923.2024.10901109,-,2.5
rec_00081,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Exclude,manual,Integrated Sensing and Communications (ISAC) for Vehicular Communication Networks (VCN),"X. Cheng, D. Duan, S. Gao and L. Yang",10.1109/JIOT.2022.3191386,,0.1
rec_00082,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Clock and Carrier Synchronization Using Optical Frequency Combs in Radio Access Networks,"Abdulrahman Alshehry, Amany Kassem, Zhixin Liu, Izzat Darwazeh",10.1109/ict65093.2025.11046275,-,2.7
rec_00083,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Photonics-Aided THz Integrated Sensing and Communication System Based on a Subcarrier-Chirp Inter-Embedded Waveform,"Junhao Zhang, Mingzheng Lei, Min Zhu, Qingzhi Zhou, Bingchang Hua, Yuancheng Cai, Hao Li, Jiao Zhang, Zhengyi Liang, Yang Li, Xingyu Chen, Junjie Ding, Qing Zhong, Sha Zhu, Jianjun Yu",10.1109/ojcoms.2025.3545896,-,2.7
rec_00084,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Terrestrial and Non-Terrestrial Networks for Integrated Sensing and Communication,"Francesco Matera, Marina Settembre, Ernestina Cianca, Marina Ruggieri, Arcangela Rago, Alessio Fascista, Giuseppe Piro, Luigi Alfredo Grieco, Francesco Malandrino, Simone Morosi",10.1109/isse63315.2024.10741118,-,2.7
rec_00085,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Experimental Demonstration of Integrated Optical Wireless Sensing and Communication,"Lina Shi, Ziqi Liu, Bastien Béchadergue, Hongyu Guan, Luc Chassagne, Xun Zhang, Luc Chas",10.1109/jlt.2024.3415417,2024,2.7
rec_00086,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Photonics-assisted Millimeter-Wave Multiband Integrated Sensing and Communication System Using Coherent Receiving,"Wenlin Bai, Peixuan Li, Xihua Zou, Ningyuan Zhong, Wei Pan, Xiong Deng, Lianshan Yan",10.1109/jstqe.2023.3276903,-,2.9
rec_00087,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Flexible Waveform Design for RO-ISAC Based on OFDM-Embedded Maximum Length Sequence,"Jia Du, Chen Chen, Zhihong Zeng, Dengke Wang, Jia Ye, Jian Song, Harald Haas",10.1109/lwc.2025.3593253,-,2.7
rec_00088,Elicit,completed,reviewer,2025-10-06 18:21:39.137537,screening,Include,manual,Multi-UAV-Enabled Integrated Sensing and Communications: Joint Beamforming and UAV Placement Design,"Weihang Ding, Zixiang Ren, Yuan Fang, Ling Qiu, Jie Xu",10.1109/wcsp62071.2024.10827315,-,2.5
