record_id,title,authors,year,venue,doi_or_id,Topology & HW Profile,Challenges,Signal Processing & Targeting Capabilities,Metrics & Evaluation,Solutions / Innovations,"Wavelength (λ,nm)",Range & Environment,Channel Impairment Focus,Turbulence Parameters (numeric only),Phase Retrieval / Channel Estimation,Beam Quality Metrics (numeric only),ISAC Coupling & Metrics,Hardware Maturity & Safety/Power,Evaluation Setup Notes,Risk of Bias,Normalization Notes,Anchor (p./Fig./Sec.),Notes,,,,,,,,,,,,,,,,,,,,,,
rec_00071,Cooperative Sensing and User-Echo Associations for Integrated Sensing and Communication Networks,"Haiying Zhang, Shuyi Chen, Weixiao Meng, Cheng Li",2024,2024 IEEE Global Communications Conference (GLOBECOM),10.1109/GLOBECOM52923.2024.10901313,"Cellular hybrid monostatic and bistatic ISAC system; G BSs (ULA, $N_{BS}=4$ antennas) cooperatively sensing I UEs (single-antenna); BSs connected by optical fibers to a fusion center.",User-echo association: identities of UEs not in echoes; monostatic and bistatic modes coexist; direction sensitivity of scatterer structure (HRRP) in bistatic sensing.,Uses OTFS signal (robust to time-varying channels); parameter estimation (delay/Doppler) formulated as SSR; parallel off-grid SBL algorithm (VBI-EM strategy); association scheme uses bistatic angles and HRRP correlation.,NMSE (Normalized Mean Square Error); BER; cooperative sensing (Coop) significantly outperforms monostatic (Mono); P-SBL algorithm performs close to MLE and better than OMP.,"Novel approach for parameter estimation and user-echo association in cooperative ISAC; uses OTFS; uses bistatic angles and HRRP correlation (from scattering center model) for association, rather than just position.",,Cellular network; doubly dispersive channels; $f_c=3$ GHz; $M=N=10$ DD grid.,Doubly dispersive channels; time-varying channels; echo interference between BSs.,,"Parameter estimation (delay, Doppler, coefficients) via parallel off-grid SBL; uses first-order Taylor approximation for non-linear sensing matrix.",,"ISAC via OTFS signal; trade-off: as modulation order increases (BPSK to 64QAM), NMSE worsens.",$N_{BS}=4$ antennas.,"Simulation; $f_c=3$ GHz, $\Delta f=15$ kHz; $N_{BS}=4$; Baselines: Monostatic sensing (Mono), OMP, MLE, On-Grid P-SBL.",Simulation only; assumes LoS channel to UEs; assumes angles of UEs are available.,"NMSE defined as $\sum |\hat{h}_{k}-\overline{h}_{k}|^{2}/\sum |\overline{h}_{k}|^{2}$.""","[C7] p1, p2; [C8] p1; [C9] p1, p4, p5; [C10] p1, p5; [C11] p1; [C13] p1, p5; [C14] p1; [C16] p4; [C18] p1, p5; [C19] p5; [C20] p5; [C21] p5, p2, p3",Addresses user-echo association in cooperative (multi-BS) ISAC; proposes using OTFS and correlating HRRPs (via bistatic angles) to associate echoes; parallel off-grid SBL used for parameter estimation.,,,,,,,,,,,,,,,,,,,,,,
rec_00072,Microwave Photonics Empowered Integrated Sensing and Communication for 6G,"Lihan Wang, Xiangchuan Wang, Shilong Pan",2025,IEEE TRANSACTIONS ON MICROWAVE THEORY AND TECHNIQUES,10.1109/TMTT.2025.3532810,"Microwave photonic (MWP) ISAC; CRAN architecture; Baseband Unit (BBU) and Remote Radio Head (RRH) connected via Radio-over-Fiber (RoF); MWP-based RF generation, RoF transmission, and MWP-based RF beamforming (TTD).","Traditional electronics limitations: restricted bandwidth, poor tunability, hardware complexity, EMI; high PAPR in OFDM exacerbates nonlinearity in MWP links; beam squint in wideband phased arrays.","MWP TTD beamforming (frequency-independent delay); photonic dechirping for LFM signals; AoA estimation (mapped to optical power); resource multiplexing (TDM, FDM, PDM, WDM); integrated waveforms (OFDM, LFM).",Range resolution down to 0.25 cm; Data rates up to 1.056 Tbit/s; 6.4 Tbit/s (WDM); Spectral efficiency 5.72 bit/s/Hz (PDM).,"Review of MWP for ISAC; MWP-based TTD beamforming to resolve beam squint; photonic dechirping to reduce ADC requirements; adaptive parameter adjustment for ISAC base stations (e.g., TFDM waveform).",,"6G wireless networks (indoor/outdoor); V2X; RoF links (e.g., 2km, 10km); wireless distance (e.g., 200m, 4.6km).",ARoF link nonlinearity and signal distortion; phase noise from lasers (optical heterodyning); OFDM sensitivity to phase noise; wideband beam squint.,,OEOs used to produce low phase noise OFDM signals; VCA-SC OFDM technique eliminates phase noise effects using a digital LO; PCPE-BPS for phase noise suppression.,,"Three directions: 1) Optical resource multiplexing (TDM, FDM, PDM, WDM); 2) Integrated waveform (OFDM, LFM); 3) Adaptive parameter adjustment (e.g., TFDM).",MWP simplifies high-frequency generation; ARoF simplifies RRH structure (no CPRI); integrated photonic chips (mm²-level footprint).,"Review paper; cites numerous simulation and experimental studies (Tables I, II, III); compares TDM, FDM, PDM, WDM, OFDM, LFM, Spread Spectrum approaches.",Review paper; selection of cited works may introduce bias; comprehensive theoretical model for integrated waveforms is lacking.,,"[C7] p3, p4; [C8] p2, p12, p4; [C9] p4, p5, p6; [C10] p11, p3, p10; [C11] p1, p4, p14; [C13] p1, p3, p4, p14; [C14] p4, p12; [C16] p12; [C18] p8; [C19] p3, p4, p5; [C20] p1, p3-14; [C21] p16","MWP is a key enabler for 6G ISAC, overcoming electronic bandwidth limits; MWP enables TTD beamforming (no beam squint) and photonic dechirping (low-speed ADCs); key research directions are resource multiplexing, integrated waveforms, and adaptive base stations.",,,,,,,,,,,,,,,,,,,,,,
rec_00073,Hybrid Sensing Strategy Using Pilot and Frame for OTFS-Based ISAC Systems,Xiaolin He,2025,2025 13th International Conference on Intelligent Computing and Wireless Optical Communications (ICWOC),10.1109/ICWOC65853.2025.11151117,"OTFS-ISAC system; DD grid M=20, N=20; Impulse pilot at center of DD matrix",High-mobility environments; Pilot-based sensing has limited resolution (due to pilot power); Frame-based sensing has high complexity; Fractional Doppler shifts,Hybrid sensing strategy; Stage 1: Matched filter (MF) on pilot (coarse estimate); Stage 2: Quasi-Newton (QN/BFGS) iterative search on full-frame (refinement),RMSE of velocity; Proposed method outperforms 2D correlation benchmark; CRLB calculated,Hybrid pilot-frame sensing strategy; Combines pilot-based matched filtering (coarse) with full-frame quasi-Newton refinement (fine),74948.1,High-mobility scenarios (vehicular networks); Target speed approx 80 m/s,High mobility (Doppler shifts); Multipath fading; Fractional Doppler shifts,,Estimates delay and Doppler shifts; Resolves fractional Doppler,,OTFS-ISAC; Embedded pilot and data symbols used,,"Simulation results; DD grid 20x20; Baselines: MF based on frame, 2D correlation [5], MF with Xp",Simulation only; Integer delay used for simplicity,Normalized Doppler tap $k_{v_i}$,[C7] p0; p1; p3; [C8] p0; [C9] p0; [C10] p3; [C11] p0; [C12] p3; [C13] p0; p3; [C14] p0; p3; [C16] p0; p2; [C18] p0; [C20] p0; p3; [C21] p0; p3; [C22] p3,OTFS-ISAC simulation for high mobility; Proposes hybrid sensing: Pilot-MF (coarse) + Full-Frame Quasi-Newton (fine); Outperforms 2D correlation baseline in velocity RMSE.,,,,,,,,,,,,,,,,,,,,,,
rec_00075,LFM-PSK-based integrated sensing and communication system in the THz band,"Zhidong Lyu, Lu Zhang, Hongqi Zhang, Zuomin Yang, Lianyi Li, Changming Zhang, Xianbin Yu",2023,2023 Opto-Electronics and Communications Conference (OECC),10.1109/OECC56963.2023.10209671,Photonic THz-ISAC system; LFM-PSK waveform; ECL + PM (OFC gen) + WSS + IQ-MOD + UTC-PD (Tx); Horn antennas; Schottky mixer (Rx),Radar-centric scenario requires high PSLR and range accuracy; Performance trade-off between sensing (PSLR/accuracy) and communication (data rate),LFM-PSK waveform; Matched filter (pulse compression); Comm DSP: LFM carrier removal,Achieved 20.9 dB PSLR; Achieved 6 Gbit/s data rate; Range profile measured 2.1 cm (actual 2.0 cm); BER below 7% HD-FEC threshold,Photonic radar-centric THz-ISAC system using LFM-PSK waveform; Using symbol randomness to improve PSLR,909090.9,1 m line-of-sight (LOS) wireless link; Short-range wireless,,,,,Radar-centric scenario; Integrated LFM-PSK waveform (comms symbols embedded in LFM phase); Trade-off optimized (PSLR gain vs. MSE loss vs. data rate),Experimental setup; UTC-PD 3 mA photocurrent,Experimental validation; Compared LFM-BPSK vs traditional LFM; Back-to-back and wireless tests,Short 1m LOS link; Static transceivers and targets,PSLR and MSE normalized by LFM waveform performance,[C7] p0; p0; p1; [C8] p0; [C9] p0; p1; [C10] p0; p0; p1; [C11] p0; p1; [C12] p0; [C13] p1; p0; [C18] p0; p1; [C19] p1; [C20] p1; [C21] p1,Photonic THz-ISAC (330 GHz) demo; Uses LFM-PSK integrated waveform; Achieved 20.9 dB PSLR and 6 Gbit/s over 1m LOS.,,,,,,,,,,,,,,,,,,,,,,
rec_00076,VehicleTalk: Lightweight V2V Network Enabled by Optical Wireless Communication and Sensing,"Yang Song, Ruoshen Mo, Pinpin Zhang, Chenchen Wang, Zhengguo Sheng, Yimao Sun, Yanbing Yang",2024,2024 IEEE 99th Vehicular Technology Conference (VTC2024-Spring),10.1109/VTC2024-SPRING62846.2024.10683127,OWC ISAC (VehicleTalk) for V2V; Reuses head/tail LED lights; Full-duplex: Leader (IR LED Tx) -> Follower (PD Rx); Follower (White LED Tx) -> Leader (PD Rx); COTS MCU (ESP32); PD (BPW20RF),"V2V packet loss; Detecting risk (emergency brake, cut-in, turning); RF interference in high-density V2V",Raptor Codes (FEC); Fast risk detection algorithm (SENSE); Sensing based on received optical signal strength (RSSI); Lambertian model for distance sensing,Goodput ~5 kbps (at 5m); Distance sensing AE < 10 cm (median) at 6m; RER < 10% (Turning/Cut-in) at 5m,VehicleTalk framework; Uses OWC (LEDs/PDs) for ISAC in V2V; Combines Raptor Codes (comms) with RSSI-based risk detection (sensing),850,V2V Platooning; Tested 1m to 6m; Anticipates 50m range,Packet loss; Link break (Blocking/Occlusion); Misalignment (Turning),,,,ISAC framework; Reuses communication signals (optical strength) for sensing (distance),Prototype built with low-cost COTS devices (ESP32); IR LEDs (850 nm) used for safety,Prototype evaluation on smart model vehicles; Baselines: Non-Encoding scheme,"Model vehicle prototype; Low power LEDs (tested to 6m, anticipates 50m)",,[C7] p0; p0; p1; p2; [C8] p0; [C9] p0; p1; [C10] p4; [C11] p0; [C12] p2; [C13] p0; p3; p4; [C14] p0; p2; p3; [C18] p0; p1; [C19] p0; p2; [C20] p2; p3; [C21] p2; p3,"OWC V2V ISAC prototype (VehicleTalk); Uses LEDs/PDs + Raptor Codes (Comms) + RSSI monitoring (Sensing); Detects braking, turning, and cut-in risks.",,,,,,,,,,,,,,,,,,,,,,
rec_00078,Recent advances in integrated sensing and communication: a synergistic perspective,"Yufeng Zhang, Minglun Zhang",2024,2024 4th International Conference on Neural Networks Information and Communication (NNICE),10.1109/NNICE61279.2024.10498998,"[C7: p.0, p.2] ISAC Base Station (BS); MU-MISO model; RIS (Passive, Active, Hybrid)",[C8: p.0] Inherent conflicts between communication and sensing; Performance degradation under non-line-of-sight (NLoS); High computational complexity,"[C9: p.0, p.3] Deep learning techniques; ISAC signal demodulation (ISAC-NET); Algorithm acceleration (Compressed sensing); Deep learning based receiver (SensingNet, ComNet)","[C10: p.0, p.1] Comm metrics (BER, MSE); Sensing metrics (MMSE, CRB); Unified metrics (Mutual Information - MI)",[C11: p.0] Application of RIS; Application of Deep Learning; Proposed AI-driven RIS-assisted ISAC technology,,"[C13: p.1, p.2] NLoS path; High-speed railroad environment","[C14: p.1, p.2] Non-line-of-sight (NLoS); Multiplicative fading effect (MFE) in passive RIS",,"[C16: p.1, p.3] Deep learning-based channel estimation; Sensing function provides CSI for RIS",,"[C18: p.0, p.1] Performance tradeoffs; Unified metrics (Sensing MI and Communication MI)",[C19: p.2] Passive RIS reduces hardware costs/energy; Active/Hybrid RIS add complexity/power,[C20: p.0] Review/overview paper,[C21: p.0] Review paper; lacks novel experimental validation,,"[C7] p.0, p.2; [C8] p.0; [C9] p.0, p.3; [C10] p.0, p.1; [C11] p.0; [C13] p.1, p.2; [C14] p.1, p.2; [C16] p.1, p.3; [C18] p.0, p.1; [C19] p.2; [C20] p.0; [C21] p.0","[C24: p.0] Review of ISAC challenges (NLoS, complexity, conflicts); Proposes RIS and Deep Learning as solutions; Suggests future AI-driven RIS-assisted ISAC",,,,,,,,,,,,,,,,,,,,,,
rec_00079,Nanoantennas and Nanoradars: The Future of Integrated Sensing and Communication at the Nanoscale,"M. Javad Fakhimi, Ozgur B. Akan",2024,IEEE Transactions on Molecular Biological and Multi-Scale Communications,10.1109/TMBMC.2024.3434545,"Nanoantennas (Plasmonic, Graphene, Dielectric); Nano-scale Radar (NR) systems; Monostatic (MNR) or Bistatic (BNR); Components: Photo-Detectors (PDs), Nano-resonators, NICs","Weak back-reflected signals from nanoparticles; High computational cost of scattering theories (Mie, RGD); Component integration and compatibility",Analysis of back-scattered waves; Scattering analysis via Mie Theory and RGD Theory; FDTD/FEM numerical methods; Deep Learning (DL) models for processing,Scattering intensity vs. angle; RGD regime requires particle size << wavelength; Resonant frequency shift upon biomarker binding,Proposes Nano-scale Radar (NR) systems using nanoantennas for ISAC; Uses Mie/RGD theories for nanoradar sensing; Proposes JSAC via bio-functionalized nanoantennas,428,Nanoscale; Inside a nano-channel,"Quantum effects; Plasmonic effects (SPPs, LSPs); Weak scattering",,,,ISAC: NRs integrated with communication signals; JSAC: Detectable alterations in antenna's frequency response upon binding,"Conceptual/Review; Discusses fabrication (EBL, NIL) and characterization (SEM, AFM)",Normalized Intensity (Fig 5);Conceptual proposal for Nanoradar; Simulations are simplified (single spherical object),Review paper; Includes MATLAB simulation (Mie/RGD scattering),,[C7] p0; p9; p14; p15; [C8] p13; p16; [C9] p11; p3; p15; [C10] p13; p14; p16; [C11] p0; p11; p16; [C12] p0; p13; [C13] p0; [C14] p3; p13; [C18] p0; p16; [C19] p1; [C20] p0; p13; [C21] p0; p12; [C22] p14,Review of nanoantennas (THz/Optical); Proposes Nanoradar (NR) concept for nanoscale ISAC; Analyzes sensing via Mie and RGD scattering theories,,,,,,,,,,,,,,,,,,,,,,
rec_00080,Trade-off in Waveform Sensitivity to Environment in Integrated Sensing and Communications: An Electromagnetic Field Analysis,Husheng Li,2024,2024 IEEE Global Communications Conference (GLOBECOM 2024),10.1109/GLOBECOM52923.2024.10901109,"System model with ISAC transmitter, sensing receiver, and communication receiver[cite: 273]. [cite_start]Dense antenna arrays (modeled as continuous apertures) [cite: 275][cite_start].","Quantifying the conflict of interest between communication (needs waveform insensitivity to environment/scatterers) and sensing (needs high sensitivity) [cite: 220, 221, 229, 244][cite_start].","Sensitivity analysis of EM field to scatterers using electrodynamics (Helmholtz/Lippmann-Schwinger equations)[cite: 259, 279, 289]. [cite_start]Optimization of spatial waveforms (source charge Q) to minimize/maximize sensitivity [cite: 364, 410][cite_start].","Field sensitivity `\xi(U)` defined as the integral of the squared field change at the receiver[cite: 344, 346]. [cite_start]Trade-off analyzed via ""communication-first"" and ""sensing-first"" optimization strategies [cite: 459, 499][cite_start].","Provides a theoretical framework based on electrodynamics to quantify the ISAC trade-off in terms of waveform sensitivity to the environment [cite: 222, 259][cite_start].",,"Environment modeled by scatterers in a region `\Omega_{0}`[cite: 276]. [cite_start]Numerical simulation assumes a spherical target (radius 1m) and spherical measurement aperture at distances of 10m, 20m, 30m [cite: 421, 508][cite_start].","Signal confusion/impairment due to EM field sensitivity to scatterers in the environment [cite: 221, 229][cite_start].",,,,"Fundamental trade-off: high sensitivity to scatterers benefits sensing but harms communication[cite: 220, 221]. [cite_start]Low sensitivity to the waveform (codeword) benefits sensing (less randomness) but harms communication (hard to distinguish codewords) [cite: 256, 257][cite_start].",,"Theoretical analysis and numerical simulation[cite: 259, 264]. [cite_start]Simulation uses discretized space [cite: 322] [cite_start]and spherical decomposition for eigenvalues [cite: 424][cite_start].","Simulation-only; relies on simplifying assumptions (e.g., Born's approximation [cite: 293][cite_start], spherical target [cite: 421][cite_start], change of coefficient `V` only [cite: 308]).",,"[C7] p2; [C8] p1; [C9] p3, p2, p4; [C10] p3, p5, p6; [C11] p1; [C13] p2, p6; [C14] p1; [C18] p1, p2; [C20] p2, p6, p3, p5; [C21] p3, p5, p2","Theoretical paper quantifying the fundamental ISAC trade-off: sensing needs high sensitivity to environmental scatterers, while communication needs low sensitivity.",,,,,,,,,,,,,,,,,,,,,,
rec_00082,Clock and Carrier Synchronization Using Optical Frequency Combs in Radio Access Networks,"Abdulrahman Alshehry, Amany Kassem, Zhixin Liu, Izzat Darwazeh",2025,2025 31st International Conference on Telecommunications (ICT),10.1109/ICT65093.2025.11046275,"Optical-electrical system for RAN[cite: 1478]. [cite_start]Tx: CW lasers, MZMs, WDM[cite: 1466, 1469, 1470]. [cite_start]Fiber link: 10km SMF[cite: 1508]. [cite_start]Rx: WDDM, photodiodes, BPF/LPF filters, mixers, antennas [cite: 1471, 1473, 1474, 1475][cite_start].","Growing demand for precise clock and carrier synchronization in 6G, massive MIMO, ultra-dense cell deployments, and ISAC [cite: 1411, 1422, 1430][cite_start].","WDM/WDDM for signal combining/separation[cite: 1470, 1471]. [cite_start]Generation of OFC using MZM[cite: 1468, 1491]. [cite_start]Filtering (BPF, LPF) to separate comb tones and baseband data[cite: 1474, 1475, 1649]. [cite_start]Up-conversion of data using comb lines as carriers [cite: 1475][cite_start].","Simulation (VPI) and experimental validation[cite: 1416, 1480, 1760]. [cite_start]Successful synchronization of carrier frequencies at 2.5 GHz, 5 GHz, and 7.5 GHz [cite: 1415, 1755][cite_start].","Novel method for clock/carrier synchronization using a 2.5 GHz spaced OFC distributed via WDM over SMF with data signals[cite: 1412, 1414]. [cite_start]This supports ISAC node synchronization [cite: 1454, 1461][cite_start].",1555,10000 m (10 km SMF) optical fiber transmission [cite: 1508][cite_start].,"Synchronization over extensive distances [cite: 1413, 1804][cite_start].",,,,"Not ISAC performance, but providing synchronization *for* ISAC systems[cite: 1411, 1433]. [cite_start]Frequency synchronization is crucial for ISAC to avoid interference and localization errors [cite: 1435, 1438][cite_start].",,"Simulation (VPI Photonic Design Suite) [cite: 1480] [cite_start]and experimental proof-of-concept[cite: 1459, 1760]. [cite_start]Experiment used C-band lasers, MZMs, WDM, and 20 GHz photodiode [cite: 1761, 1763, 1764, 1765][cite_start].","Experiment only demonstrates signal generation and reception on spectrum analyzers; end-to-end data transmission (BER) is future work[cite: 1757, 1811].",,"[C7] p2, p3; [C8] p1; [C9] p2, p3, p4; [C10] p1, p5; [C11] p1, p2; [C12] p5; [C13] p3; [C14] p1; [C18] p1; [C20] p2, p5; [C21] p6","Proposes and demonstrates (Sim+Exp) an OFC-based synchronization system for RAN/ISAC; A 2.5GHz-spaced comb is sent over 10km fiber via WDM with data, providing stable 2.5/5/7.5 GHz carriers.",,,,,,,,,,,,,,,,,,,,,,
rec_00083,Photonics-Aided THz Integrated Sensing and Communication System Based on a Subcarrier-Chirp Inter-Embedded Waveform,"Junhao Zhang, Mingzheng Lei, Min Zhu, Qingzhi Zhou, Bingchang Hua, Yuancheng Cai, Hao Li, Jiao Zhang, Zhengyi Liang, Yang Li, Xingyu Chen, Junjie Ding, Qing Zhong, Sha Zhu, Jianjun Yu",2025,IEEE Open Journal of the Communications Society,10.1109/OJCOMS.2025.3545896,"Photonics-aided THz system[cite: 559]. [cite_start]Tx: Coherent OFC source, WSS, IQ-MOD, UTC-PD, Horn Antenna (25 dBi)[cite: 806, 809, 811, 966, 969]. [cite_start]Rx: Horn Antenna (25 dBi), THz mixers, LNAs, DSOs [cite: 970, 1011, 1010][cite_start].","Achieving high time-frequency efficiency (high IRQ and DIRQ) simultaneously[cite: 606, 607]. [cite_start]Electronic bottlenecks in high-frequency, wide-band electronic ISAC systems [cite: 584][cite_start].","Waveform: Subcarrier-Chirp Inter-Embedded (SCIE)[cite: 561, 608]. [cite_start]Communication DSP: Down-conversion, synchronization, demultiplexing, clock recovery, CPE [cite: 733-737]. [cite_start]Radar: Cross-correlation [cite: 1169] [cite_start]or ISAR imaging via Range-Doppler (RD) algorithm [cite: 1178][cite_start].","Data rate: 88 Gbps[cite: 562, 611, 1159]. [cite_start]Ranging resolution: 8 mm[cite: 563, 611, 1271]. [cite_start]BER: < 2.2e-2 (SD-FEC threshold)[cite: 1068]. [cite_start]DIRQ (Density of Information-Resolution Quotient): 46.2e-2 bit*s/m^2 [cite: 564, 612][cite_start].","Novel SCIE waveform that embeds subcarrier communication signals (QAM) into the idle time-frequency dimensions of an LFMCW[cite: 560, 608]. [cite_start]Photonics-assisted THz (150 GHz) generation using a coherent OFC for stability [cite: 610, 806][cite_start].",1550.032,"10.2 m wireless transmission[cite: 562, 611, 1015]. Indoor lab environment. [cite_start]Targets: 3 static metal targets [cite: 1166][cite_start].",Free-space loss (minimized with lenses) [cite: 1014][cite_start].,,"Standard communication DSP includes Carrier Phase Estimation (CPE)[cite: 740]. [cite_start]Frequency Offset Estimation (FOE) found unnecessary due to stable OFC source [cite: 835, 1070, 1072][cite_start].",,"Co-time, co-frequency (CTCF) mechanism[cite: 600, 696]. [cite_start]SCIE waveform embeds communication in idle time-frequency slots of LFMCW radar signal[cite: 560, 746]. [cite_start]DIRQ metric used to evaluate time-frequency efficiency [cite: 588, 922][cite_start].","Experimental setup using lab components (ECL, AWG, DSOs, UTC-PD) [cite: 949, 960, 966, 972][cite_start].","Experimental demonstration[cite: 559]. [cite_start]Communication performance (BER vs IOP) and sensing performance (cross-correlation, ISAR imaging) evaluated [cite: 1064, 1168][cite_start].",Lab environment (10.2m) with static targets; not tested in a dynamic or cluttered scenario.,"Introduces IRQ and DIRQ metrics to characterize time-frequency efficiency[cite: 588, 937].","[C7] p1, p6; [C8] p2; [C9] p1, p4, p8; [C10] p1, p7; [C11] p1, p2; [C12] p6; [C13] p1, p6, p8; [C14] p6; [C16] p4, p7; [C18] p3, p1, p5; [C19] p5, p6; [C20] p1, p7, p8; [C21] p6, p8; [C22] p5",Experimental demo of a 150 GHz THz-ISAC system using a novel SCIE waveform (QAM-in-LFMCW-idle-slots); Achieves 88 Gbps and 8 mm resolution at 10.2 m.,,,,,,,,,,,,,,,,,,,,,,
rec_00084,Terrestrial and Non-Terrestrial Networks for Integrated Sensing and Communication,"Francesco Matera, Marina Settembre, Ernestina Cianca, Marina Ruggieri, Arcangela Rago, Alessio Fascista, Giuseppe Piro, Luigi Alfredo Grieco, Francesco Malandrino, Giuseppe Virone, Simone Morosi",2024,2024 IEEE International Symposium on Systems Engineering (ISSE),10.1109/ISSE63315.2024.10741118,"Integrated 3D architecture of Terrestrial Networks (TNs) and Non-Terrestrial Networks (NTNs)[cite: 22, 27, 35]. [cite_start]NTNs include GEO/LEO satellites, drones, and aerial platforms[cite: 34]. [cite_start]Uses massive antenna arrays [cite: 28][cite_start].","Managing the high dynamism of NTN elements[cite: 37, 40]. [cite_start]Complexity of cross-domain M&O[cite: 36, 143]. [cite_start]Need for space sustainability [cite: 75][cite_start].","ISAC services: high-accuracy localization, recognition, passive object detection, imaging, environment reconstruction[cite: 29]. [cite_start]Data collection and AI-based analysis[cite: 23]. [cite_start]OFDM waveform sharing [cite: 63, 64][cite_start].",,"Proposes using TN-NTN Management and Orchestration (M&O) architectures as a reference for ISAC sensing operations[cite: 23]. [cite_start]Leverages AI-based analysis via elements like RIC and NWDAF[cite: 42, 153, 155]. [cite_start]Links ISAC to space sustainability [cite: 73][cite_start].",,"Integrated terrestrial, aerial (drone), and space (satellite) 3D environment [cite: 34, 35, 97][cite_start].",Dynamic nature of NTN links causes fluctuations in Quality of Service [cite: 37][cite_start].,,,,"ISAC implemented by sharing OFDM symbols (time intervals for data transmission or sensing)[cite: 30, 31, 64]. [cite_start]Trade-offs in M&O strategies (optimal for comms may not be optimal for sensing) [cite: 52, 53][cite_start].",,"This is a position/architecture paper referencing the Italian ITA-NTN project[cite: 24, 46]. [cite_start]It analyzes architectures and proposes guidelines[cite: 24, 45].",Conceptual paper; no experimental or simulation results provided.,,"[C7] p1; [C8] p1; [C9] p1, p2; [C11] p1, p4, p2; [C13] p1, p3; [C14] p1; [C18] p1, p2; [C20] p1","Position paper proposing TN-NTN M&O architecture (like RIC, NWDAF) with AI for ISAC; Highlights ISAC's role in space sustainability (e.g., debris tracking).",,,,,,,,,,,,,,,,,,,,,,
rec_00085,Experimental Demonstration of Integrated Optical Wireless Sensing and Communication,"Lina Shi, Ziqi Liu, Bastien Béchadergue, Hongyu Guan, Luc Chassagne, Xun Zhang",2024,J. Lightw. Technol.,10.1109/JLT.2024.3415417,[C7] OWC-based ISAC; 4 APs on ceiling (IR LEDs); 1 UE (3 PIN PDs) in receiver plane; Commercial optical antennas (Oledcomm) used.,"[C8] Need for post-calibration to correct for model deviations (NLOS ignored, non-flat frequency response, non-Lambertian/asymmetric beam pattern).",[C9] Multi-band carrierless amplitude and phase (m-CAP) modulation (4 bands); Received Signal Strength (RSS)-based positioning; Linear least-squares estimation; 2-step post-calibration process.,[C10] Positioning Error: < 5.9 cm (90% CDF after correction); Data Rate: 12 Mbps (effective); BER < 3.8x10^-3; Full coverage of 1.2x1.2 m area.,[C11] Experimental validation of m-CAP (comm) combined with RSS (sensing) in an OWC system; A two-step post-calibration method to improve positioning accuracy.,940,[C13] Indoor room ($1.2\times1.2\times2.16~m^{3}$); Vertical AP-UE distance h=1.96 m; UE plane 20 cm above ground.,[C14] NLOS (neglected in model); Non-flat frequency response (distortion); Asymmetric beam pattern.,,,,[C18] Same signal (m-CAP) used for both data transmission (demodulation) and sensing (RSS from signal variance); 1st sub-band (1 MHz) failed communication due to filter roll-off but 3 other bands worked.,[C19] Prototype built with USRPs and commercial optical antennas (Oledcomm LiFiMAX); Tx optical power avg 472.5 mW (safety compliant).,[C20] Experimental prototype; 4 AP positions tested sequentially using one antenna; UE moved on a 13x13 grid (169 points); VNA used for channel characterization.,[C21] Sequential AP testing (not simultaneous); Post-calibration process is data-intensive and may overfit to the test area; 1st sub-band failure limits data rate.,[C22] 12 Mbps effective rate (3 bands * 1 MHz/band * 4 bits/symbol) as 1st band failed; 16 Mbps designed rate.,[C7] p1; p1; p7; p2; [C8] p5; p9; p9; [C9] p1; p1; p4; p12; [C10] p13; p1; p1; [C11] p2; p13; [C12] p7; [C13] p1; p7; [C14] p5; p9; p9; [C18] p1; p4; p10; [C19] p2; p2; p7; [C20] p2; p7; p7; p8; [C21] p7; p13; p10;,[C24] Experimental OWC-ISAC combining m-CAP (comm) and RSS (sensing); Achieves 12 Mbps and 5.9 cm positioning accuracy (90%) in a 1.2x1.2m area; Requires data-intensive post-calibration to correct for hardware/model mismatches.,,,,,,,,,,,,,,,,,,,,,,
