Title,Authors,DOI,DOI link,Venue,Citation count,Year,Filename,Cascaded Path Realized (OPA→RIS),"Reasoning for ""Cascaded Path Realized (OPA→RIS)""",Comparators/Baselines Reported,"Reasoning for ""Comparators/Baselines Reported""","Key Physics Specified (λ, distance, aperture)","Reasoning for ""Key Physics Specified (λ, distance, aperture)""",OPA Present (optical phased array),"Reasoning for ""OPA Present (optical phased array)""",Optical Domain (not RF),"Reasoning for ""Optical Domain (not RF)""",Optical RIS/Metasurface Present,"Reasoning for ""Optical RIS/Metasurface Present""",Free-Space Optical Systems,"Reasoning for ""Free-Space Optical Systems""",ISAC Applications,"Reasoning for ""ISAC Applications""",Non-Line-of-Sight Scenarios,"Reasoning for ""Non-Line-of-Sight Scenarios""",OPA-RIS Cascaded Architecture,"Reasoning for ""OPA-RIS Cascaded Architecture""",Quantitative Performance Metrics,"Reasoning for ""Quantitative Performance Metrics""",Substantial Technical Content,"Reasoning for ""Substantial Technical Content""",Turbulent Channel Conditions,"Reasoning for ""Turbulent Channel Conditions""",Screening judgement,"Reasoning for ""Screening judgement""",Screening score
RIS-Assisted Near-Field Integrated Sensing and Symbiotic Radio Systems,"Zhengyu Zhu, Mengke Ning, Gangcan Sun, Qingqing Guo, Zheng Chu, Inkyu Lee",10.1109/ICCT62411.2024.10946544,https://doi.org/10.1109/ICCT62411.2024.10946544,International Conference on Speech Technology and Human-Computer Dialogue,0,2024,-,no,There is no OPA→RIS cascaded path as the system operates in radio frequency.,yes,The study compares fully-digital and DMA architectures.,no,The abstract doesn't mention wavelength or specific propagation distances.,no,No optical phased array is mentioned or implied in the paper. The system uses radio antennas instead.,no,"The paper clearly operates in the radio frequency domain, discussing ""radio communication"" and ""DMA architecture"" for radio systems, rather than the optical regime.",no,"While RIS is present, it's clearly for radio frequency applications, not optical.",no,"This is a radio communication system, not an optical system.",yes,The paper explicitly focuses on integrated sensing and communication.,no,"The abstract mentions ""near-field"" but doesn't specifically address non-line-of-sight scenarios.",no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on RIS-assisted radio communication systems.",yes,The study mentions SINR and Cramer-Rao Bound (CRB) as quantitative performance metrics.,yes,This appears to be a full technical paper with optimization algorithms and numerical results.,no,There is no mention of atmospheric turbulence or optical channel conditions.,Exclude,"This research focuses on radio frequency communication systems using reconfigurable intelligent surfaces, not optical technologies, and therefore fails key screening criteria related to optical phased arrays and optical metasurfaces. The study operates in the radio domain, investigating integrated sensing and communication with radio antennas, which fundamentally differs from the optical system requirements. Despite having substantial technical content and addressing integrated sensing and communication, the paper does not meet the core optical technology screening criteria.",0.1
Sensing-Based Beamforming Design for Joint Performance Enhancement of RIS-Aided ISAC Systems,"Xi Qian, Xiaoling Hu, Chenxi Liu, M. Peng, C. Zhong",10.1109/TCOMM.2023.3299980,https://doi.org/10.1109/TCOMM.2023.3299980,IEEE Transactions on Communications,26,2023,-,no,No cascaded path is mentioned or implied in the abstract.,yes,"The abstract mentions comparison with ""communication-only frameworks.""",no,"The abstract does not provide wavelength, propagation distance, or aperture information.",no,The abstract does not mention optical phased arrays.,no,"The abstract does not specify the frequency domain or mention optical components, indicating this is likely an RF-based system rather than an optical one.",no,"While RIS is present, there's no indication it's an optical metasurface, suggesting an RF implementation.",no,There is no indication of free-space optical systems; the paper appears to be RF-based.,yes,The abstract explicitly states this is an ISAC application study.,maybe,"The abstract mentions ""blind-zone user equipment"" which might imply NLoS scenarios, but it's not explicitly stated.",no,"The abstract does not mention optical phased arrays or a cascaded configuration, suggesting this is a general RIS-aided ISAC framework rather than an OPA-RIS cascaded architecture.",yes,The abstract mentions performance metrics including positioning accuracy and communication rates.,yes,"The abstract indicates this is a technical research paper with substantial content, including protocol design and performance analysis.",no,The abstract does not mention atmospheric turbulence or channel conditions.,Exclude,"The research focuses on a reconfigurable intelligent surface (RIS) for integrated sensing and communication, but lacks key optical domain characteristics such as optical phased arrays, metasurfaces, or free-space optical systems. While demonstrating substantial technical content and ISAC applications, the study appears to be an RF-based framework that does not meet the specified optical screening criteria.",1.4
RIS-Aided ISAC Waveform Design via Parallel Product Complex Circle Manifold,"Kai Zhong, Dong-Chun An, Ruoyu Jiang, Jinfeng Hu, Cunhua Pan",10.1109/GLOBECOM54140.2023.10437484,https://doi.org/10.1109/GLOBECOM54140.2023.10437484,Global Communications Conference,2,2023,-,no,The abstract does not discuss a cascaded path or optical link.,yes,The abstract mentions comparison with existing methods and discusses performance improvements.,no,The abstract does not provide any physical parameters like wavelength or distances.,no,The abstract does not mention the use of an optical phased array.,no,"The abstract does not specify whether the work is in the optical or RF domain. There is no mention of wavelengths, lasers, or optical components.",no,"While RIS is discussed, there is no indication that it is an optical RIS. The context suggests this is likely an RF-based system.",no,The abstract does not mention free-space optical systems.,yes,The abstract explicitly states that this is about integrated sensing and communication (ISAC) systems.,no,The abstract does not mention non-line-of-sight (NLoS) optical communication scenarios.,no,"The abstract does not mention optical phased arrays or a cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on waveform design for ISAC systems with RIS.",maybe,"While performance is mentioned, specific metrics are not detailed in the abstract.",yes,The abstract indicates that this is a technical study with a mathematical framework (P2C2M) and optimization algorithms.,no,The abstract does not mention atmospheric conditions or turbulence.,Exclude,"The abstract describes a waveform design study for integrated sensing and communication systems using Reconfigurable Intelligent Surfaces, but lacks specific optical domain characteristics. Critical screening criteria related to optical phased arrays, free-space optical systems, and wavelength specifications are not met, indicating this research is likely focused on RF rather than optical technologies.",1.4
Integrated Sensing and Communications for Reconfigurable Intelligent Surface-Aided Cell-Free Networks,"Shanza Shakoor, Quang Nhat Le, Een-Kee Hong, Berk Canberk, T. Duong",10.1109/LCOMM.2025.3558995,https://doi.org/10.1109/LCOMM.2025.3558995,IEEE Communications Letters,0,2025,-,no,"The abstract describes a system with RISs and access points, but not specifically a cascaded OPA→RIS configuration.",maybe,"The abstract mentions that the proposed approach ""significantly boosts"" performance, implying some comparison, but details are not explicit.",no,The abstract does not provide any physical parameters like wavelength or propagation distances.,no,The abstract does not mention optical phased arrays.,no,"The abstract does not specify whether the system operates in the optical domain. There is no mention of wavelengths, lasers, or optical components.",no,"While RISs are mentioned, there is no specification that they are optical RISs or metasurfaces.",no,The abstract does not specify whether this is a free-space optical system.,yes,The paper explicitly focuses on integrated sensing and communication (CF-ISAC).,no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,The abstract does not specifically discuss OPAs or a cascaded configuration with RISs. It focuses on cell-free systems with distributed access points and RISs.,yes,The study reports SINR as a performance metric.,yes,This appears to be a technical paper with optimization methods and numerical results.,no,There is no mention of atmospheric turbulence or channel conditions.,Exclude,"The abstract describes a cell-free integrated sensing and communication system using reconfigurable intelligent surfaces, but lacks specific details about optical domain operation, optical phased arrays, or key physical parameters. While the study reports SINR performance and focuses on ISAC applications, it appears to be a radio-frequency system rather than an optical communication research, thus failing to meet most of the specified screening criteria.",1.4
DRL-Based Secure Beamforming Design for RIS-Assisted ISAC System: A CRB Perspective,"Shuo Yang, Wu Luo",10.1109/FCN64323.2024.10985056,https://doi.org/10.1109/FCN64323.2024.10985056,2024 International Conference on Future Communications and Networks (FCN),0,2024,-,no,The abstract does not provide a clear indication of a cascaded path between OPA and RIS.,yes,"The abstract mentions comparison with ""traditional algorithms"", indicating the presence of comparators or baselines.",no,The abstract does not provide any specific physical parameters like wavelength or distances.,no,The abstract does not mention the use of optical phased arrays.,no,"The abstract does not specify whether the system is in the optical or RF domain. There is no mention of wavelengths, lasers, or optical components.",no,"While RIS is mentioned, it is not specified if it is optical or RF-based.",maybe,"The abstract mentions line-of-sight paths and obstacles, but does not specify if the system is optical or RF-based.",yes,"The abstract explicitly mentions an ""integrated sensing and communications (ISAC) system"".",yes,"The abstract explicitly mentions scenarios where ""the line-of-sight path... is blocked by the obstacles"".",no,The abstract does not specifically mention OPAs or a cascaded configuration between OPAs and RIS. It appears to be a general RIS-assisted system rather than an OPA-RIS cascaded architecture.,yes,The abstract mentions secrecy rate and Cramér-Rao bound as quantitative performance metrics.,yes,"The abstract indicates that this is a technical study with algorithm development and numerical results, suggesting substantial technical content.",no,The abstract does not mention any atmospheric turbulence or channel conditions.,Include,"The abstract describes a reconfigurable intelligent surface (RIS) system for integrated sensing and communications, but lacks specific details about optical domain implementation, optical phased arrays, or wavelength parameters. While the study addresses non-line-of-sight scenarios and includes performance metrics, it does not clearly demonstrate an optical system with OPA-RIS cascaded architecture. The research appears more aligned with general RIS systems rather than a specialized optical communication approach.",2.5
Modeling and Coverage Analysis of RIS-Assisted Integrated Sensing and Communication Networks,"Xu Gan, Chongwen Huang, Zhaohui Yang, Xiaoming Chen, Faouzi Bader, Zhaoyang Zhang, Chau Yuen, Yong Liang Guan, Mérouane Debbah",10.1109/TWC.2025.3550903,https://doi.org/10.1109/TWC.2025.3550903,IEEE Transactions on Wireless Communications,1,2025,-,no,"While there is a network with RIS, it is not an OPA→RIS cascaded path.",yes,The study compares RIS deployment scenarios and includes baseline cases.,maybe,"Some parameters are mentioned, such as BS density of 40 km^-2, but wavelength and specific aperture sizes are not explicitly stated in the abstract.",no,No optical phased array is mentioned or used in the study.,no,"The paper explicitly focuses on the mmWave band, not the optical regime with nm wavelengths, laser/LED/VCSEL, or optics.",no,"While RIS is used, it is in the mmWave domain, not the optical domain.",no,"The system is mmWave-based, not free-space optical.",yes,The paper explicitly focuses on ISAC applications.,yes,The paper addresses blockage effects and non-line-of-sight scenarios.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on RIS-assisted mmWave networks without mentioning optical phased arrays or cascaded configurations.",yes,The study reports coverage probability and ergodic rate metrics.,yes,This is a detailed technical analysis with theoretical modeling and simulations.,no,There is no mention of atmospheric turbulence parameters.,Exclude,"The study focuses on mmWave ISAC networks with RIS, fundamentally diverging from optical domain requirements by lacking optical phased arrays, optical RIS, and free-space optical systems. Despite demonstrating substantial technical depth in mmWave communication and addressing non-line-of-sight scenarios, the research fails to meet critical screening criteria related to optical architectures and technologies. Consequently, the paper does not align with the specified optical system and OPA-RIS cascaded architecture screening requirements.",0.1
STAR-RIS Aided Dynamic Scatterers Tracking for Integrated Sensing and Communications,"Muye Li, Shun Zhang, Yao Ge, Chau Yuen",10.1109/TVT.2025.3527753,https://doi.org/10.1109/TVT.2025.3527753,IEEE Transactions on Vehicular Technology,2,2025,-,no,"While there is a cascaded system, it's not an OPA→RIS configuration.",yes,The paper mentions comparing different strategies and includes performance evaluation.,no,The abstract doesn't mention wavelength or specific physical parameters.,no,No optical phased array is mentioned or implied in the paper.,no,"The paper explicitly mentions millimeter wave communication systems, not optical wavelengths.",no,"While RIS is present, it's specifically for millimeter wave applications, not optical.",no,"The system is millimeter wave, not optical.",yes,The paper explicitly focuses on ISAC applications.,yes,The paper discusses tracking scatterers and dynamic paths.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on millimeter wave systems.",yes,"The paper discusses performance metrics, though specific ones aren't detailed in the abstract.",yes,This is a full technical paper with simulation results and detailed analysis.,no,No mention of atmospheric turbulence parameters.,Exclude,"The research focuses on millimeter wave communication systems using STAR-RIS for integrated sensing and communication, which fundamentally differs from optical domain requirements. Critical screening criteria related to optical phased arrays, optical RIS, and free-space optical systems are not met, rendering the study non-compliant with the specified technical parameters. Despite addressing some technical aspects like ISAC and performance metrics, the core optical system specifications are absent.",0.1
RIS-Empowered Integrated Location Sensing and Communication with Superimposed Pilots,"Wenchao Xia, Ben Zhao, Wankai Tang, Yongxu Zhu, kai-kit Wong, S. Lambotharan, Hyundong Shin",10.1109/tcomm.2025.3557994,https://doi.org/10.1109/tcomm.2025.3557994,IEEE Transactions on Communications,1,2025,-,no,The abstract does not mention any cascaded OPA→RIS configuration.,yes,"The study compares the proposed superimposed pilot scheme with a regular pilot scheme, indicating the presence of a baseline or comparator.",no,"The abstract does not provide any information about wavelength, propagation distance, or aperture sizes.",no,The abstract does not mention the use of an optical phased array.,no,"The abstract clearly discusses wireless communication and does not mention any optical components or wavelengths, indicating that the work is not in the optical regime.",no,"While RIS is discussed, it is in the context of wireless communication, not optical metasurfaces.",no,"The study focuses on wireless communication systems, not free-space optical systems.",yes,"The paper combines communication and positioning, which is a form of Integrated Sensing and Communication (ISAC) applications.",no,The abstract does not specifically mention non-line-of-sight (NLoS) scenarios.,no,"The abstract does not discuss Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on RIS-assisted wireless communication and positioning.",yes,"The study reports Fisher Information matrix analysis, Cramér-Rao bound, and achievable rate metrics, which are quantitative performance metrics.",yes,"This is a technical paper with theoretical analysis, numerical results, and optimization using genetic algorithms, indicating substantial technical content.",no,The abstract does not mention any atmospheric turbulence or related parameters.,Exclude,"The research focuses on wireless communication and positioning using reconfigurable intelligent surfaces, but lacks any optical domain components or characteristics. Critical screening criteria related to optical systems, phased arrays, and wavelength specifications are not met, rendering the study incompatible with the specified optical research parameters. While technically robust in wireless communication, the work fundamentally diverges from the required optical system focus.",0.1
Joint Trajectory and Resource Allocation Design for RIS-Assisted UAV-Enabled ISAC Systems,"Zhongqing Wu, Xuehua Li, Yuanxin Cai, Weijie Yuan",10.1109/LWC.2024.3370989,https://doi.org/10.1109/LWC.2024.3370989,IEEE Wireless Communications Letters,13,2024,-,no,There is no clear indication of a cascaded OPA→RIS path. The system uses RIS with UAV transmission but not in the required optical cascaded configuration.,yes,"The abstract mentions ""baseline schemes"" and comparisons.",no,"The abstract does not provide wavelength, propagation distance, or aperture size information.",no,There is no mention of optical phased arrays. The system uses radar-communication beamforming but not specifically optical phased arrays.,no,The abstract does not specify the frequency domain or mention optical components. The context suggests RF/microwave implementation rather than optical.,no,"While RIS is present, there's no indication it's an optical RIS. The context suggests RF implementation.",no,"While the system is free-space (UAV-based), it's not specifically optical.",yes,The abstract explicitly focuses on ISAC technology and applications.,no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,"The abstract does not specifically discuss OPAs or a cascaded configuration. It focuses on UAV-based ISAC systems with RIS assistance, rather than investigating OPAs in a cascaded configuration with RIS.",yes,The abstract mentions SNR and sum-rate metrics.,yes,The paper appears to be a technical analysis with optimization algorithms and numerical results.,no,There is no mention of atmospheric turbulence parameters.,Exclude,"The research focuses on an RF-based integrated sensing and communication system using UAVs and reconfigurable intelligent surfaces, which fundamentally differs from the required optical phased array and RIS cascaded architecture. Critical screening criteria related to optical domain, wavelength, and optical metasurfaces are not met, rendering the study incompatible with the specified technical requirements. While the paper demonstrates technical depth in ISAC applications, it lacks the essential optical components and configuration sought in the screening process.",1.4
RIS-Enhanced Beamwidth-Adjustable Sensing Framework: A Stationary Phase Method-Based Approach,"Zhiang Li, Jide Yuan, Huan Huang, Zhe Li, Yuli Yang",10.1109/LCOMM.2025.3569907,https://doi.org/10.1109/LCOMM.2025.3569907,IEEE Communications Letters,0,2025,-,no,"The abstract does not clearly indicate that the OPA output is steered to a RIS or that a cascaded link is proposed or evaluated, so it is unclear if a cascaded path is realized.",maybe,"The abstract mentions a ""low-complexity method,"" but it does not clearly indicate if there are any baseline comparisons or ablations, so it is unclear if comparators/baselines are reported.",no,"The abstract does not provide information about the wavelength, propagation distance, or aperture size, so the key physics are not specified.",no,"The abstract does not explicitly mention the use of an optical phased array, so it is unclear if an OPA is present.",no,"The abstract does not specify whether the work is in the optical regime or RF/mmWave, so it is unclear if this is an optical domain study.",no,"While the abstract mentions RIS, it does not specify if it is an optical RIS/metasurface or an RF RIS, so it is unclear if an optical RIS/metasurface is present.",no,"The abstract does not clearly indicate that this study focuses on free-space optical communication systems or atmospheric optical links, so it is unclear if this is a free-space optical system.",yes,"The abstract explicitly mentions ""integrated sensing and communication applications,"" so this study does focus on ISAC applications.",no,"The abstract does not mention non-line-of-sight (NLoS) optical communication scenarios, so it is unclear if this study examines NLoS scenarios.",no,"The abstract does not specifically mention OPAs or a cascaded configuration with RIS, so there is no clear indication that this study investigates OPA-RIS cascaded architecture.",maybe,"While the abstract mentions ""channel gain,"" it does not explicitly state specific performance metrics, so it is unclear if quantitative performance metrics are reported.",yes,"The abstract indicates that this is a technical analysis with channel modeling and numerical solutions, so this study appears to have substantial technical content.",no,"The abstract does not mention any atmospheric turbulence parameters, so it is unclear if this research is conducted in turbulent optical channels.",Include,"The abstract lacks critical details about optical domain implementation, with no explicit mention of optical phased arrays, wavelength, or free-space optical systems. While the study addresses integrated sensing and communication applications with a technical approach, it fails to meet most screening criteria related to optical RIS and OPA configurations. The research appears more theoretical and lacks specific optical system parameters.",2.5
Qualitative Survey on Artificial Intelligence Integrated Blockchain Approach for 6G and Beyond,"Vivek Pathak, R. Pandya, V. Bhatia, O. A. López",10.1109/ACCESS.2023.3319083,https://doi.org/10.1109/ACCESS.2023.3319083,IEEE Access,8,2023,-,no,There is no discussion of cascaded paths or OPA-RIS configurations in the abstract.,maybe,"As a survey paper, it likely includes comparisons, but these are not specified in the abstract.",no,"The abstract does not provide any specific wavelengths, distances, or aperture sizes.",no,There is no mention of optical phased arrays in the abstract.,no,"While visible light communication is mentioned, it is only one of many topics in a broad survey, and the focus appears to be primarily on 6G wireless communications in the THz spectrum, not the optical domain.",no,"While RIS is mentioned, it is not specifically in the optical domain.",maybe,"While visible light communication is mentioned, it is not clear if this focuses on free-space optical systems.",yes,"The abstract explicitly mentions ""integrated sensing and communication.""",no,There is no mention of non-line-of-sight scenarios in the abstract.,no,"The abstract mentions RIS but only as one of many topics in a broad survey, and there is no indication that the study investigates OPA-RIS cascaded configuration.",no,No specific performance metrics are mentioned in the abstract.,yes,"This appears to be a survey paper with substantial technical content, though it is very broad in scope.",no,There is no mention of atmospheric turbulence or channel conditions in the abstract.,Exclude,"The survey paper broadly covers 6G wireless communications, blockchain, and machine learning technologies, but fails to meet most technical screening criteria related to optical phased arrays, RIS configurations, and specific optical system parameters. While touching on integrated sensing and communication, the abstract lacks the detailed technical specifications and focused optical system analysis required by the screening criteria.",1.4
Beyond Diagonal RIS for ISAC Network: Statistical Analysis and Network Parameter Estimation,"T. Nguyen, Georges Kaddoum, Bassant Selim, Chadi Assi",-,-,-,1,2025,-,no,The abstract does not mention a cascaded path or an OPA→RIS configuration.,yes,The study includes comparisons through SNR and SINR analysis.,no,The abstract mentions N elements but does not specify wavelength or propagation distances.,no,"The abstract does not mention optical phased arrays, and the study appears to focus on radar beamforming and RIS rather than an OPA.",no,"The abstract does not specify the frequency domain, and the context of radar and communication suggests this is an RF study rather than an optical one.",no,"While RIS is present, it is not specified as an optical metasurface, and the context suggests an RF implementation.",no,"There is no indication of free-space optical systems, and the study appears to be RF-based.",yes,The study explicitly focuses on integrated sensing and communication (ISAC) applications.,no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,"The abstract does not mention optical phased arrays or a cascaded configuration, suggesting this study does not investigate OPA-RIS in a cascaded architecture.",yes,The study reports SNR and SINR metrics.,yes,"The paper appears to be a theoretical analysis with substantial technical content, including mathematical derivations and numerical results.",no,The abstract does not mention atmospheric turbulence or channel conditions.,Exclude,"The study focuses on reconfigurable intelligent surfaces (RIS) for integrated sensing and communication, but lacks key optical domain characteristics such as wavelength specification, optical phased arrays, or free-space optical systems. While demonstrating substantial technical content with quantitative performance metrics, the research appears to be an RF-based investigation rather than an optical communication study. Critical screening criteria related to optical architecture and parameters are not met.",1.4
A Tensor-Based Signal Processing for ISAC Using C-DRCNN in RIS-Assisted mmWave MIMO-OFDM Systems,"Jianhe Du, Miaomiao He, Jingjing He, Jianbo Liu, Libiao Jin, Yalin Guan",10.1109/JIOT.2024.3412209,https://doi.org/10.1109/JIOT.2024.3412209,IEEE Internet of Things Journal,1,2024,-,no,"The system described is a mmWave MIMO-OFDM system with RIS, not an optical cascaded path.",yes,"The paper mentions comparison with ""state-of-the-art algorithm.""",maybe,"While SNR is mentioned, specific wavelengths and distances are not provided in the abstract.",no,No optical phased array is mentioned or used in the study.,no,"The paper is explicitly focused on mmWave and RF systems, not optical wavelengths.",no,"While RIS is used, it's in the RF/mmWave domain, not optical.",no,"The system is mmWave-based, not free-space optical.",yes,The paper explicitly focuses on integrated sensing and communication (ISAC) applications.,no,NLoS scenarios are not explicitly mentioned or studied.,no,"The paper does not investigate Optical Phased Arrays (OPAs) in cascaded configuration with Reconfigurable Intelligent Surfaces (RIS). Instead, it focuses on mmWave and RF systems, not optical wavelengths.",yes,The study reports performance metrics including SNR and channel estimation performance.,yes,This is a detailed technical study with simulation results and algorithm development.,no,No mention of atmospheric turbulence or optical channel conditions.,Exclude,"The study focuses on mmWave and RF systems for integrated sensing and communication, fundamentally diverging from optical domain requirements. Critical screening criteria related to optical phased arrays, optical RIS, and free-space optical systems are not met, rendering the paper incompatible with the specified research parameters. Despite strong technical content and ISAC application focus, the core technological domain disqualifies the work from meeting the essential screening criteria.",0.1
"Joint Beamforming for RIS-Assisted Integrated Communication, Sensing and Power Transfer Systems","Yue Yang, Hui Gao, Xiaoyu Yang, Ruohan Cao, Yongjian Fan",10.1109/LWC.2023.3327360,https://doi.org/10.1109/LWC.2023.3327360,IEEE Wireless Communications Letters,7,2024,-,no,"The system does involve RIS and beamforming, but not specifically in an OPA→RIS cascaded configuration.",no,"The abstract mentions ""simulation results"" but does not explicitly state comparisons with baselines.",no,"The abstract does not provide wavelength, propagation distance, or aperture size information.",no,There is no explicit mention of optical phased arrays in the abstract. The beamforming discussed appears to be general rather than specifically about optical phased arrays.,no,"The abstract does not specify whether the work is in the optical or RF domain. The mention of ""energy harvester"" and general beamforming suggests this could be RF-based rather than optical.",no,"While the abstract mentions RIS, there is no indication that it is an optical RIS. The phase shift mentioned could be RF-based rather than optical.",no,The abstract does not specify if this is for free-space optical systems.,yes,"The paper explicitly focuses on integrated communication, sensing, and power transfer systems.",no,Non-line-of-sight scenarios are not explicitly mentioned in the abstract.,no,The abstract does not specifically mention optical phased arrays (OPAs) in a cascaded configuration with reconfigurable intelligent surfaces (RIS). The discussion of beamforming appears to be in a general context rather than specifically about optical phased arrays.,maybe,The study mentions SNR and Cramér-Rao bound as performance metrics.,yes,This appears to be a technical study with an optimization framework and simulation results.,no,There is no mention of atmospheric turbulence or channel conditions in the abstract.,Include,"The study appears to be a general RIS research paper without clear evidence of optical domain specificity, lacking explicit mentions of optical phased arrays or optical metasurfaces. While demonstrating technical depth in integrated communication and sensing systems, the abstract fails to meet critical screening criteria related to optical systems, wavelength specifications, and optical phased array configurations. The research seems more aligned with RF-based RIS applications rather than optical communication systems.",2.5
Joint Design for STAR-RIS Aided ISAC: Decoupling or Learning,"Jifa Zhang, Shiqi Gong, Weidang Lu, Chengwen Xing, Nan Zhao, Derrick Wing Kwan Ng, Dusist Niyato",10.1109/TWC.2024.3413089,https://doi.org/10.1109/TWC.2024.3413089,IEEE Transactions on Wireless Communications,8,2024,-,no,"While there is a cascaded system (transmitter → STAR-RIS → receiver), it's not an optical OPA→RIS configuration.",yes,Yes - the paper compares STAR-RIS with conventional RIS and evaluates different scenarios.,no,The abstract does not provide specific wavelengths or physical parameters.,no,No mention of optical phased arrays. The system appears to be RF-based.,no,The abstract does not mention any optical components or wavelengths. The context suggests RF/microwave systems.,no,"While RIS is present (STAR-RIS), it's not specified as an optical metasurface. The context suggests RF implementation.",no,No - the system appears to be RF-based rather than free-space optical.,yes,Yes - the paper explicitly focuses on Integrated Sensing and Communication applications.,maybe,Not explicitly mentioned in the abstract.,no,The paper discusses STAR-RIS (a type of RIS) but does not mention optical phased arrays. The focus appears to be on RF-based systems.,yes,Yes - the paper mentions performance metrics including multi-user interference energy and waveform discrepancies.,yes,Yes - this is a detailed technical paper with optimization algorithms and simulation results.,no,No mention of atmospheric turbulence or channel conditions.,Exclude,"The research focuses on RF-based Integrated Sensing and Communication (ISAC) using STAR-RIS, with no evidence of optical domain implementation or optical phased arrays. While demonstrating substantial technical depth and comparative analysis, the study fundamentally lacks optical system characteristics, failing key screening criteria related to wavelength, optical metasurfaces, and free-space optical communication. The work appears to be a comprehensive RF-based system investigation rather than an optical technology exploration.",1.4
Simultaneous Communication and Localization for Double-RIS Aided Multi-UE ISAC Systems,"Xu Gan, Chongwen Huang, Zhaohui Yang, Caijun Zhong, Xiaoming Chen, Jiguang He, Zhaoyang Zhang, Qinghua Guo, Chau Yuen, Mérouane Debbah",10.1109/ICCT59356.2023.10419401,https://doi.org/10.1109/ICCT59356.2023.10419401,International Conference on Speech Technology and Human-Computer Dialogue,6,2023,-,no,The abstract does not mention a cascaded path between OPA and RIS.,yes,"The abstract mentions comparing the proposed scheme with baseline performance, showing 143% improvement.",no,"The abstract does not provide wavelength, propagation distance, or aperture information.",no,The abstract does not mention optical phased arrays.,no,"The abstract does not specify whether the system operates in the optical domain. There is no mention of wavelengths, lasers, or optical components.",no,"While RIS is discussed, it is not specified as an optical RIS or metasurface.",no,The abstract does not specify whether this is for free-space optical systems.,yes,The paper explicitly focuses on integrated sensing and communication (ISAC) applications.,yes,The abstract mentions scenarios where line-of-sight paths are blocked.,no,The abstract does not mention optical phased arrays or a cascaded configuration between OPA and RIS. It focuses on RIS-aided ISAC systems in general.,yes,The abstract reports quantitative metrics including localization accuracy (centimeter-level) and throughput improvement.,yes,This appears to be a technical paper with algorithm development and numerical results.,no,The abstract does not mention atmospheric turbulence or channel conditions.,Exclude,"The research focuses on reconfigurable intelligent surfaces (RIS) for integrated sensing and communication systems, but lacks specific optical domain characteristics such as wavelength, optical phased arrays, or metasurface specifications. While demonstrating technical depth in ISAC applications and non-line-of-sight scenarios, the study appears to be a radio-frequency (RF) system rather than an optical communication research. Quantitative performance metrics and algorithmic innovations are present, but the fundamental optical system requirements are not met.",1.4
Simultaneous Beam Training and Target Sensing for RIS-Aided Integrated Sensing and Communication,"Kangjian Chen, Chenhao Qi, O. Dobre",10.1109/ICC45041.2023.10279742,https://doi.org/10.1109/ICC45041.2023.10279742,ICC 2023 - IEEE International Conference on Communications,1,2023,-,no,"While there is a RIS-based path, it's not specifically an OPA→RIS cascade.",yes,"Yes - the abstract mentions that the proposed scheme ""outperforms the existing schemes.""",no,"The abstract does not provide wavelength, propagation distance, or aperture size information.",no,No mention of optical phased arrays. The system appears to use traditional beamforming.,no,"The abstract does not specify whether this is in the optical or RF domain. Given the context of base stations and user equipment, this appears to be an RF-based study.",no,"While RIS is present, there's no indication it's an optical RIS. The context suggests RF implementation.",no,No indication this is an optical system - appears to be RF-based.,yes,"Yes - explicitly mentions ""integrated sensing and communication (ISAC) systems.""",no,Not explicitly mentioned in the abstract.,no,The abstract discusses RIS-aided systems but does not specifically mention optical phased arrays. It appears to be a general RIS system study.,maybe,"The abstract mentions ""training overhead"" but doesn't specify detailed metrics like SNR, BER, etc.",yes,Yes - this appears to be a full technical paper with simulation results and analysis.,no,No mention of atmospheric conditions or turbulence parameters.,Exclude,"The study focuses on RF-based reconfigurable intelligent surface (RIS) systems for integrated sensing and communication, lacking specific optical domain characteristics. Critical screening criteria related to optical phased arrays, optical RIS, and free-space optical systems are not met, indicating this research is fundamentally an RF communication study rather than an optical system investigation.",1.4
